CCTV-3高清	rtp://239.86.1.174:1234
CCTV-6高清	rtp://239.86.1.175:1234
CCTV-7高清	rtp://239.86.1.176:1234
CCTV-8高清	rtp://239.86.1.177:1234
CCTV-9高清	rtp://239.86.1.178:1234
CCTV10高清	rtp://239.86.1.179:1234
CCTV12高清	rtp://239.86.1.180:1234
CCTV14高清	rtp://239.86.1.181:1234

【信源检修高清】	rtp://239.86.1.183:1234
浏阳电视高清	rtp://239.86.1.184:1234
长沙新闻		rtp://239.86.1.185:1234
长沙政法		rtp://239.86.1.186:1234


湖南教育		rtp://239.86.1.189:1234
株洲新闻综合	rtp://239.86.1.190:1234
湘潭新闻综合	rtp://239.86.1.191:1234



嘉丽购		rtp://239.86.1.195:1234
梨园高清		rtp://239.86.1.196:1234
文物宝库高清	rtp://239.86.1.197:1234








湖南卫视超清	rtp://239.86.1.206:1234
CCTV16高清	rtp://239.86.1.207:1234

CHTV百姓健康	rtp://239.86.1.209:1234

优优宝贝		rtp://239.86.1.211:1234
武术世界高清	rtp://239.86.1.212:1234
家庭理财		rtp://239.86.1.213:1234
财富天下		rtp://239.86.1.214:1234
收藏天下		rtp://239.86.1.215:1234
国学		rtp://239.86.1.216:1234

先锋乒羽		rtp://239.86.1.218:1234
快乐购高清	rtp://239.86.1.219:1234
CCTV4美洲高清	rtp://239.86.1.220:1234




长沙政法高清	rtp://239.86.1.225:1234
长沙新闻高清	rtp://239.86.1.226:1234

CCTV-4高清	rtp://239.86.1.228:1234
CCTV13高清	rtp://239.86.1.229:1234
安徽卫视高清	rtp://239.86.1.230:1234
辽宁卫视高清	rtp://239.86.1.231:1234
东南卫视高清	rtp://239.86.1.232:1234
广东卫视高清	rtp://239.86.1.233:1234
湖北卫视高清	rtp://239.86.1.234:1234
贵州卫视高清	rtp://239.86.1.235:1234
河北卫视高清	rtp://239.86.1.236:1234
CETV1高清	rtp://239.86.1.237:1234
常德综合高清	rtp://239.86.1.238:1234


怀化综合高清	rtp://239.86.1.241:1234

信号检修高清	rtp://239.86.1.243:1234
信号检修高清	rtp://239.86.1.244:1234
信号检修高清	rtp://239.86.1.245:1234
嘉佳卡通		rtp://239.86.1.246:1234
厦门卫视		rtp://239.86.1.247:1234
兵团卫视		rtp://239.86.1.248:1234
湖南教育高清	rtp://239.86.1.249:1234
张家界1综合高清	rtp://239.86.1.250:1234
张家界2公共高清	rtp://239.86.1.251:1234

CETV2		rtp://239.86.1.253:1234
CETV4高清	rtp://239.86.1.254:1234












梨园		rtp://239.86.2.7:1234
文物宝库		rtp://239.86.2.8:1234
武术世界		rtp://239.86.2.9:1234
CCTV16 4K	rtp://239.86.2.10:1234
广西卫视高清	rtp://239.86.2.11:1234
